Date,Open,High,Low,Close,Adj Close,Volume,Symbol
,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC,
2025-03-11,17443.08984375,17687.400390625,17238.240234375,17436.099609375,17436.099609375,9177320000,^IXIC
2025-03-12,17711.41015625,17800.099609375,17436.26953125,17648.44921875,17648.44921875,7746430000,^IXIC
2025-03-13,17598.560546875,17621.91015625,17239.439453125,17303.009765625,17303.009765625,7147050000,^IXIC
2025-03-14,17523.30078125,17773.48046875,17491.080078125,17754.08984375,17754.08984375,7093850000,^IXIC
2025-03-17,17722.5390625,17925.939453125,17645.869140625,17808.66015625,17808.66015625,6306340000,^IXIC
2025-03-18,17662.5703125,17682.919921875,17431.669921875,17504.119140625,17504.119140625,6450530000,^IXIC
2025-03-19,17590.119140625,17917.5390625,17533.939453125,17750.7890625,17750.7890625,6302310000,^IXIC
2025-03-20,17586.060546875,17903.19921875,17576.8203125,17691.630859375,17691.630859375,6098330000,^IXIC
2025-03-21,17519.83984375,17798.060546875,17474.810546875,17784.05078125,17784.05078125,8837930000,^IXIC
2025-03-24,18046.189453125,18210.05078125,18030.6796875,18188.58984375,18188.58984375,6787790000,^IXIC
2025-03-25,18207.970703125,18281.130859375,18170.419921875,18271.859375,18271.859375,6475790000,^IXIC
2025-03-26,18217.330078125,18236.55078125,17837.259765625,17899.01953125,17899.01953125,9091510000,^IXIC
2025-03-27,17811.240234375,17988.01953125,17743.80078125,17804.029296875,17804.029296875,8002470000,^IXIC
2025-03-28,17722.08984375,17763.279296875,17283.060546875,17322.990234375,17322.990234375,7015410000,^IXIC
2025-03-31,17045.439453125,17334.98046875,16854.369140625,17299.2890625,17299.2890625,8122180000,^IXIC
2025-04-01,17221.55078125,17506.58984375,17149.359375,17449.890625,17449.890625,7756540000,^IXIC
2025-04-02,17207.009765625,17716.51953125,17181.26953125,17601.05078125,17601.05078125,9126630000,^IXIC
2025-04-03,16790.529296875,16889.33984375,16533.0390625,16550.609375,16550.609375,9461330000,^IXIC
2025-04-04,16045.599609375,16128.16015625,15575.6796875,15587.7900390625,15587.7900390625,11038180000,^IXIC
2025-04-07,14978.0302734375,16292.2802734375,14784.0302734375,15603.259765625,15603.259765625,12483580000,^IXIC
2025-04-08,16181.0400390625,16316.509765625,15053.3896484375,15267.91015625,15267.91015625,10496650000,^IXIC
2025-04-09,15295.4404296875,17202.939453125,15270.2802734375,17124.970703125,17124.970703125,13479740000,^IXIC
2025-04-10,16635.44921875,16712.369140625,15894.26953125,16387.310546875,16387.310546875,11861670000,^IXIC
2025-04-11,16358.5302734375,16753.41015625,16228.0400390625,16724.4609375,16724.4609375,9444890000,^IXIC
2025-04-14,17120.439453125,17136.560546875,16661.259765625,16831.48046875,16831.48046875,9667260000,^IXIC
2025-04-15,16842.390625,16979.9609375,16753.220703125,16823.169921875,16823.169921875,7483050000,^IXIC
2025-04-16,16499.689453125,16600.369140625,16066.4599609375,16307.16015625,16307.16015625,7909190000,^IXIC
2025-04-17,16399.970703125,16408.509765625,16181.169921875,16286.4501953125,16286.4501953125,7046290000,^IXIC
2025-04-21,16052.759765625,16066.7900390625,15685.330078125,15870.900390625,15870.900390625,6678730000,^IXIC
2025-04-22,16079.9404296875,16410.560546875,16038.73046875,16300.419921875,16300.419921875,6981900000,^IXIC
2025-04-23,16880.2890625,17029.859375,16642.66015625,16708.05078125,16708.05078125,8564870000,^IXIC
2025-04-24,16754.759765625,17174.349609375,16744.970703125,17166.0390625,17166.0390625,7607400000,^IXIC
2025-04-25,17182.109375,17404.490234375,17110.720703125,17382.939453125,17382.939453125,7412930000,^IXIC
2025-04-28,17390.9296875,17467.349609375,17128.7109375,17366.130859375,17366.130859375,10313290000,^IXIC
2025-04-29,17270.759765625,17500.419921875,17256.19921875,17461.3203125,17461.3203125,13001930000,^IXIC
2025-04-30,17099.98046875,17483.8203125,16959.529296875,17446.33984375,17446.33984375,8595330000,^IXIC
2025-05-01,17793.140625,17922.830078125,17688.109375,17710.740234375,17710.740234375,8409690000,^IXIC
2025-05-02,17868.759765625,18048.830078125,17812.0390625,17977.73046875,17977.73046875,8180190000,^IXIC
2025-05-05,17817.009765625,17965.640625,17792.080078125,17844.240234375,17844.240234375,7075320000,^IXIC
2025-05-06,17623.2109375,17830.349609375,17592.880859375,17689.66015625,17689.66015625,6958220000,^IXIC
