2025-09-29 07:14:36.195 | ERROR    | strategies.bigline_strategy:backtest:133 - 0050.TW daily 回測失敗: "None of ['date'] are in the columns"
2025-09-29 07:14:36.195 | INFO     | strategies.bigline_strategy:backtest:31 - 開始回測 BigLine 策略: 0050.TW, 時間框架: daily
2025-09-29 07:14:36.201 | ERROR    | strategies.bigline_strategy:backtest:133 - 0050.TW daily 回測失敗: "None of ['date'] are in the columns"
2025-09-29 07:14:36.217 | INFO     | market_analyst:analyze_market:91 - 0050.TW 市場分析完成
2025-09-29 07:14:36.228 | INFO     | strategy_mastermind:optimize_all_strategies:201 - Optimization running in background...
2025-09-29 07:14:36.232 | INFO     | strategy_mastermind:_load_extended_data:211 - Loaded cached extended data: 488 rows
2025-09-29 07:14:36.232 | INFO     | strategy_mastermind:_optimize_thread:189 - Optimizing technical strategy (1 iterations)...
2025-09-29 07:14:36.233 | INFO     | strategy_mastermind:_optimize_thread:189 - Optimizing ml strategy (1 iterations)...
2025-09-29 07:14:36.234 | INFO     | strategy_mastermind:_optimize_thread:189 - Optimizing bigline strategy (1 iterations)...
2025-09-29 07:14:36.237 | INFO     | strategies.technical_strategy:backtest:119 - 2330.TW 非主要交易標的，跳過回測
2025-09-29 07:14:36.239 | INFO     | strategies.ml_strategy:backtest:35 - 2330.TW 非主要交易標的，跳過回測
2025-09-29 07:14:36.239 | INFO     | strategies.bigline_strategy:backtest:31 - 開始回測 BigLine 策略: 2330.TW, 時間框架: daily
2025-09-29 07:14:36.239 | INFO     | strategies.bigline_strategy:backtest:34 - 2330.TW 非主要交易標的，跳過回測
2025-09-29 07:14:36.252 | INFO     | market_analyst:analyze_market:91 - 2330.TW 市場分析完成
2025-09-29 07:14:36.255 | INFO     | strategy_mastermind:optimize_all_strategies:201 - Optimization running in background...
2025-09-29 07:14:36.266 | INFO     | strategy_mastermind:_load_extended_data:211 - Loaded cached extended data: 488 rows
2025-09-29 07:14:36.267 | INFO     | strategy_mastermind:_optimize_thread:189 - Optimizing technical strategy (1 iterations)...
2025-09-29 07:14:36.271 | INFO     | strategy_mastermind:_optimize_thread:189 - Optimizing ml strategy (1 iterations)...
